Celebrity,Designer,Fashion house,Gender presentation,Primary color,Secondary color,Color group,Silhouette,Look category,Material or texture,Theme interpretation,Theme fit,Art reference,Best dressed,Public approval,Vote Yes Percent,Media source,Notes
Rihanna,Glenn Martens,Maison Margiela,Female,Metallic grey,Charcoal,Grey,Sculptural column,Sculptural gown,"Duchess silk, recycled metal threads, crystal beads, antique jewels, chains, heavy embroidery",Sculptural,High,"Medieval Flemish architecture / Flanders, Belgium",No,Low,36%,Vogue,"Custom sculptural Maison Margiela gown by Glenn Martens, inspired by medieval Flemish architecture. The metallic cocoon-like structure makes the body look like an architectural sculpture."
A$AP Rocky,Matthieu Blazy,Chanel,Male,Pink,Black / white,Pink,Tailored long coat,Tailored menswear / coat look,"Pink wool, black satin lapels, black piping, fringe detail, silk and feather camélia",Tailoring as art ,Medium,Matthieu Blazy-era Chanel / classic formalwear reinterpretation,No,Low,36%,Vogue,"Pink Chanel long coat with black satin lapels, bow tie, fringe detail, and floral brooch. The look reinterprets classic formal menswear through a softer couture-inspired color palette."
Emma Chamberlain,Miguel Castro Freitas,Mugler,Female,Yellow,Blue / green / multicolor,Multicolor,Mermaid / fitted gown,Hand-painted gown / artistic gown,"Painted fabric, sheer sleeves, fringe details, flowing train",Painting-inspired / Archival reference,High,"Archival Mugler look, including a butterfly dress from 1997 /Van Gogh-inspired / Starry Night-like color palette",Yes,Medium-high,67%,Vogue,"Hand-painted Mugler look by Miguel Castro Freitas, inspired by archival Mugler designs including a 1997 butterfly dress. The colorful painterly surface strongly connects the gown to the “Fashion is Art” theme."
Jeremy Pope,Vivienne Westwood,Vivienne Westwood,Male,Black,Gold / bronze / multicolor,Black,Corseted jacket with straight-leg trousers,Tailored menswear / corset jacket look,"Duchess silk, pearls, glass beads, sequins, stones, heavy embroidery",Historical / Corsetry as art,Medium,Vivienne Westwood 1996 corseted evening jacket,No,Low,34%,Vogue,"Custom Vivienne Westwood look inspired by a Fall 1996 corseted evening jacket. The embroidered jacket uses pearls, glass beads, sequins, and stones, referencing historical corsetry and couture craftsmanship."
Gwendoline Christie,Giles Deacon,Giles Deacon,Female,Red,Pink / green / purple,Red,Mermaid / dramatic tulle gown,Theatrical gown / costume-inspired gown,"Tulle, feathers, sheer panels, structured bodice, dramatic headpiece",Theatrical / Surrealist / Performance art,High,"John Singer Sargent, Madame Vionnet, Ira Cohen",No,Low,36%,Vogue,"Dramatic red Giles Deacon gown with theatrical tulle, feather details, mask prop, and oversized headpiece. The look references performance and surrealist art, making the body appear like a living artwork."
Beyoncé,Olivier Rousteing,Balmain,Female,Silver / nude,Grey / white,Silver,Sheer fitted gown with dramatic cape,Naked dress / skeletal gown / couture gown,"Sheer fabric, crystals, beading, feathers, embellished headpiece",Anatomical body / Body as art,High,Skeleton / anatomical body,Yes,Medium,52%,Vogue,"Custom Olivier Rousteing sheer crystal gown with a skeleton-like structure, feathered cape, and embellished headpiece. The look directly connects to the body-focused “Fashion is Art” theme."
Hailey Bieber,Anthony Vaccarello,Saint Laurent,Female,Cobalt blue,Gold,Blue,Column gown with sculpted bodice and cape,Sculptural gown / goddess-inspired gown,"Silk chiffon, 24-karat gold bodice, metallic breastplate",Sculptural / Classical body,High,Yves Saint Laurent x Claude Lalanne Fall 1969 couture,No,Low,33%,Vogue,Custom Saint Laurent look by Anthony Vaccarello with a 24-karat gold sculpted bodice and cobalt blue chiffon gown. The look references Yves Saint Laurent’s 1969 collaboration with sculptor Claude Lalanne and turns the torso into a classical sculptural object.
Ashley Graham,Dimitra Petsa,Di Petsa,Female,Nude / beige,Silver,Nude,Fitted sheer gown with tulle train,Wet-look gown / second-skin gown,"Nude mesh, sheer tulle, draped fabric, wet-look texture",Anatomical body / Second skin / Sculptural body,Medium-high,Di Petsa Fall 2026 serpent-skin dress,No,Low,10%,Vogue,"Custom Di Petsa gown by Dimitra Petsa, hand-sewn directly onto Ashley Graham’s body. The nude mesh and draping create a second-skin effect inspired by serpent scales, while the silver chrome-dipped fingers reference sculptors and the hand of the artist."
Jon Batiste,Eli Russell Linnetz,ERL,Male,White / ivory,Cream,White,Oversized padded coat with wide-leg trousers,Oversized menswear / padded coat look,"Padded fabric, glossy/technical fabric, ruffled shirt, structured volume",Classical body / Deconstructed tailoring,Medium,Grecian goddess dresses,No,Low,18%,Vogue,"All-white ERL look referencing Grecian goddess dresses, but interpreted through puffed volume instead of classical pleats. The outfit mixes classical inspiration with oversized contemporary menswear."
Chase Infiniti,Thom Browne,Thom Browne,Female,Multicolor,,Multicolor,Fitted column gown,Trompe-l’œil gown / artistic gown,"Stacked sequins, silk fringe, embroidered texture",Classical body / Painting-inspired / Trompe-l’œil,High,Venus de Milo by Alexandros of Antioch,Yes,Medium,55%,Vogue,Custom Thom Browne trompe-l’œil dress inspired by the Venus de Milo. The gown uses over 1.5 million stacked sequins and silk fringe in more than 600 colors to mimic painterly brushstrokes and turn the body into a classical artwork.
